Total de Nós; Treinamento;Teste;Validação
343;95.24221453287197;91.97994987468672;94.11764705882352
342;95.24221453287197;91.97994987468672;94.11764705882352
341;95.24221453287197;91.97994987468672;94.11764705882352
340;95.06920415224913;91.97994987468672;94.11764705882352
339;94.8961937716263;91.97994987468672;94.11764705882352
338;94.80968858131487;91.72932330827066;94.11764705882352
337;94.80968858131487;91.72932330827066;94.11764705882352
336;94.80968858131487;91.72932330827066;94.11764705882352
335;94.80968858131487;91.72932330827066;94.11764705882352
334;94.80968858131487;91.72932330827066;94.11764705882352
333;94.80968858131487;91.72932330827066;94.11764705882352
332;94.80968858131487;91.72932330827066;94.11764705882352
331;94.80968858131487;91.72932330827066;94.11764705882352
330;94.80968858131487;91.72932330827066;94.11764705882352
329;94.80968858131487;91.72932330827066;94.11764705882352
328;94.80968858131487;91.72932330827066;94.11764705882352
327;94.63667820069203;91.72932330827066;94.11764705882352
326;94.55017301038062;91.47869674185463;94.11764705882352
325;94.37716262975778;91.47869674185463;94.11764705882352
324;94.20415224913495;91.47869674185463;94.11764705882352
323;94.20415224913495;91.22807017543859;94.4636678200692
322;94.20415224913495;91.22807017543859;94.4636678200692
321;94.20415224913495;91.22807017543859;94.4636678200692
320;94.20415224913495;91.22807017543859;94.4636678200692
319;94.20415224913495;91.22807017543859;94.4636678200692
318;94.20415224913495;91.22807017543859;94.4636678200692
317;94.20415224913495;91.22807017543859;94.4636678200692
316;94.20415224913495;91.22807017543859;94.4636678200692
315;94.20415224913495;91.22807017543859;94.4636678200692
314;94.11764705882352;90.97744360902256;94.4636678200692
313;93.9446366782007;91.47869674185463;94.4636678200692
312;93.85813148788927;91.22807017543859;94.4636678200692
311;93.68512110726644;91.22807017543859;94.4636678200692
310;93.68512110726644;91.22807017543859;94.4636678200692
309;93.68512110726644;91.22807017543859;94.4636678200692
308;93.68512110726644;91.22807017543859;94.4636678200692
307;93.68512110726644;91.22807017543859;94.4636678200692
306;93.68512110726644;91.22807017543859;94.4636678200692
305;93.68512110726644;91.22807017543859;94.4636678200692
304;93.68512110726644;91.22807017543859;94.4636678200692
303;93.68512110726644;91.22807017543859;94.4636678200692
302;93.5121107266436;91.22807017543859;94.4636678200692
301;93.25259515570934;90.97744360902256;94.4636678200692
300;93.07958477508652;90.47619047619048;94.4636678200692
299;93.07958477508652;90.47619047619048;94.4636678200692
298;93.07958477508652;90.47619047619048;94.4636678200692
297;93.07958477508652;90.47619047619048;94.4636678200692
296;93.07958477508652;90.47619047619048;94.4636678200692
295;93.07958477508652;90.47619047619048;94.4636678200692
294;93.07958477508652;90.47619047619048;94.4636678200692
293;93.07958477508652;90.47619047619048;94.4636678200692
292;93.07958477508652;90.47619047619048;94.4636678200692
291;92.99307958477509;90.22556390977444;94.4636678200692
290;92.99307958477509;90.22556390977444;94.4636678200692
289;92.82006920415225;90.22556390977444;94.4636678200692
288;92.82006920415225;90.22556390977444;94.4636678200692
287;92.82006920415225;90.22556390977444;94.4636678200692
286;92.82006920415225;90.22556390977444;94.4636678200692
285;92.82006920415225;90.22556390977444;94.4636678200692
284;92.82006920415225;90.22556390977444;94.4636678200692
283;92.82006920415225;90.22556390977444;94.4636678200692
282;92.82006920415225;90.22556390977444;94.4636678200692
281;92.82006920415225;90.22556390977444;94.4636678200692
280;92.82006920415225;90.72681704260651;94.4636678200692
279;92.82006920415225;90.72681704260651;94.4636678200692
278;92.82006920415225;90.72681704260651;94.4636678200692
277;92.82006920415225;90.72681704260651;94.4636678200692
276;92.82006920415225;90.72681704260651;94.4636678200692
275;92.82006920415225;90.72681704260651;94.4636678200692
274;92.82006920415225;90.72681704260651;94.4636678200692
273;92.82006920415225;90.72681704260651;94.4636678200692
272;92.82006920415225;90.72681704260651;94.4636678200692
271;92.82006920415225;90.72681704260651;94.4636678200692
270;92.82006920415225;90.72681704260651;94.4636678200692
269;92.82006920415225;90.72681704260651;94.4636678200692
268;92.82006920415225;90.72681704260651;94.4636678200692
267;92.82006920415225;90.72681704260651;94.4636678200692
266;92.82006920415225;90.72681704260651;94.4636678200692
265;92.82006920415225;90.72681704260651;94.4636678200692
264;92.82006920415225;90.72681704260651;94.4636678200692
263;92.64705882352942;90.72681704260651;94.4636678200692
262;92.30103806228374;90.22556390977444;94.4636678200692
261;92.30103806228374;90.22556390977444;94.4636678200692
260;92.30103806228374;90.22556390977444;94.4636678200692
259;92.30103806228374;90.22556390977444;94.4636678200692
258;92.30103806228374;90.22556390977444;94.4636678200692
257;92.30103806228374;90.22556390977444;94.4636678200692
256;92.30103806228374;90.22556390977444;94.4636678200692
255;92.30103806228374;90.22556390977444;94.4636678200692
254;92.30103806228374;90.22556390977444;94.4636678200692
253;92.30103806228374;90.22556390977444;94.4636678200692
252;92.21453287197232;89.97493734335839;94.4636678200692
251;92.21453287197232;89.97493734335839;94.4636678200692
250;92.1280276816609;89.72431077694235;94.4636678200692
249;91.95501730103807;89.72431077694235;94.4636678200692
248;91.95501730103807;89.72431077694235;94.4636678200692
247;91.95501730103807;89.72431077694235;94.4636678200692
