treinamento;Teste;Validação
95.58823529;91.47869674;91.34948097
95.58823529;91.47869674;91.34948097
95.58823529;91.47869674;91.34948097
95.58823529;91.47869674;91.34948097
95.58823529;91.47869674;91.34948097
95.58823529;91.47869674;91.34948097
95.58823529;91.47869674;91.34948097
95.58823529;91.47869674;91.34948097
95.58823529;91.47869674;91.34948097
95.58823529;91.47869674;91.34948097
95.58823529;91.47869674;91.34948097
95.58823529;91.47869674;91.34948097
95.32871972;91.22807018;91.34948097
95.32871972;91.22807018;91.34948097
95.15570934;91.72932331;91.34948097
94.89619377;91.47869674;91.34948097
94.72318339;91.47869674;91.34948097
94.55017301;91.47869674;91.34948097
94.46366782;91.22807018;91.34948097
94.37716263;90.97744361;91.34948097
94.37716263;90.97744361;91.34948097
94.37716263;90.97744361;91.34948097
94.37716263;90.97744361;91.34948097
94.37716263;90.97744361;91.34948097
94.37716263;90.97744361;91.34948097
94.37716263;90.97744361;91.34948097
94.37716263;90.97744361;91.34948097
94.37716263;90.97744361;91.34948097
94.37716263;90.97744361;91.34948097
94.20415225;91.22807018;91.69550173
94.03114187;91.22807018;91.69550173
93.85813149;91.22807018;91.69550173
93.85813149;91.22807018;91.69550173
93.85813149;91.22807018;91.69550173
93.85813149;91.22807018;91.69550173
93.85813149;91.22807018;91.69550173
93.85813149;91.22807018;91.69550173
93.85813149;91.22807018;91.69550173
93.85813149;91.22807018;91.69550173
93.85813149;91.22807018;91.69550173
93.85813149;91.22807018;91.69550173
93.85813149;91.22807018;91.69550173
93.85813149;91.22807018;91.69550173
93.85813149;91.22807018;91.69550173
93.85813149;91.22807018;91.69550173
93.85813149;91.22807018;91.69550173
93.85813149;91.22807018;91.69550173
93.85813149;91.22807018;91.69550173
93.85813149;91.22807018;91.69550173
93.85813149;91.22807018;91.69550173
93.7716263;90.97744361;91.69550173
93.7716263;90.97744361;91.69550173
93.7716263;90.97744361;91.69550173
93.7716263;90.97744361;91.69550173
93.7716263;90.97744361;91.69550173
93.7716263;90.97744361;91.69550173
93.7716263;90.97744361;91.69550173
93.7716263;90.97744361;91.69550173
93.7716263;90.97744361;91.69550173
93.7716263;90.97744361;91.69550173
93.7716263;90.97744361;91.69550173
93.7716263;90.97744361;91.69550173
93.7716263;90.97744361;91.69550173
93.7716263;90.97744361;91.69550173
93.7716263;90.97744361;91.69550173
93.7716263;90.97744361;91.69550173
93.68512111;90.72681704;91.69550173
93.51211073;90.72681704;91.69550173
93.51211073;90.72681704;91.69550173
93.51211073;90.72681704;91.69550173
93.51211073;90.72681704;91.69550173
93.51211073;90.72681704;91.69550173
93.51211073;90.72681704;91.69550173
93.51211073;90.72681704;91.69550173
93.51211073;90.72681704;91.69550173
93.51211073;90.72681704;91.69550173
93.51211073;90.72681704;91.69550173
93.51211073;90.72681704;91.69550173
93.51211073;90.72681704;91.69550173
93.51211073;90.72681704;91.69550173
93.51211073;90.72681704;91.69550173
93.07958478;90.22556391;92.04152249
93.07958478;90.22556391;92.04152249
93.07958478;90.22556391;92.04152249
93.07958478;90.22556391;92.04152249
93.07958478;90.22556391;92.04152249
93.07958478;90.22556391;92.04152249
93.07958478;90.22556391;92.04152249
93.07958478;90.22556391;92.04152249
93.07958478;90.22556391;92.04152249
93.07958478;90.22556391;92.04152249
92.99307958;89.97493734;92.04152249
92.90657439;89.72431078;92.04152249
92.73356401;89.72431078;92.04152249
92.73356401;89.72431078;92.04152249
92.73356401;89.72431078;92.04152249
92.73356401;89.72431078;92.04152249
92.73356401;89.72431078;92.04152249
92.73356401;89.72431078;92.04152249
92.73356401;89.72431078;92.04152249
92.73356401;89.72431078;92.04152249
92.73356401;89.72431078;92.04152249
92.73356401;89.72431078;92.04152249
92.64705882;89.22305764;92.38754325
92.64705882;89.22305764;92.38754325
92.64705882;89.22305764;92.38754325
92.64705882;89.22305764;92.38754325
92.64705882;89.22305764;92.38754325
92.64705882;89.22305764;92.38754325
92.64705882;89.22305764;92.38754325
92.64705882;89.22305764;92.38754325
92.64705882;89.22305764;92.38754325
92.64705882;89.22305764;92.38754325
92.64705882;89.22305764;92.38754325
92.21453287;88.47117794;92.38754325
92.21453287;88.47117794;92.38754325
92.21453287;88.47117794;92.38754325
92.21453287;88.47117794;92.38754325
92.21453287;88.47117794;92.38754325
92.21453287;88.47117794;92.38754325
92.21453287;88.47117794;92.38754325
92.21453287;88.47117794;92.38754325
92.21453287;88.47117794;92.38754325
92.21453287;88.47117794;92.38754325
92.21453287;88.47117794;92.38754325
